"CAL_MONTH_KEY","INDEX_NAME","AVG_ADJ_CLOSE","FED_FUNDS","FED_FUNDS_LAG1","FED_FUNDS_CHG","FED_FUNDS_PCT_CHG","FED_FUNDS_PCT_CHG_SMA","INFLATION","INFLATION_LAG1","INFLATION_CHG","INFLATION_PCT_CHG","INFLATION_PCT_CHG_SMA","UNEMPLOYMENT","UNEMPLOYMENT_LAG1","UNEMPLOYMENT_CHG","UNEMPLOYMENT_PCT_CHG","UNEMPLOYMENT_PCT_CHG_SMA"
200605,"S&P 500",1290.01,4.94,4.79,0.15,0.03,0.03,2.6,2.46,0.14,0.06,0.04,4.6,4.7,-0.1,-0.02,-0.01
200606,"S&P 500",1253.17,4.99,4.94,0.05,0.01,0.03,2.77,2.6,0.17,0.07,0.05,4.6,4.6,0,0,-0.01
200607,"S&P 500",1260.23,5.24,4.99,0.25,0.05,0.03,2.78,2.77,0.01,0,0.04,4.7,4.6,0.1,0.02,0
200608,"S&P 500",1287.15,5.25,5.24,0.01,0,0.02,2.85,2.78,0.07,0.03,0.03,4.7,4.7,0,0,0.01
200609,"S&P 500",1317.74,5.25,5.25,0,0,0.02,2.76,2.85,-0.09,-0.03,0,4.5,4.7,-0.2,-0.04,-0.01
200610,"S&P 500",1363.38,5.25,5.25,0,0,0,2.68,2.76,-0.08,-0.03,-0.01,4.4,4.5,-0.1,-0.02,-0.02
200611,"S&P 500",1388.63,5.25,5.25,0,0,0,2.55,2.68,-0.13,-0.05,-0.04,4.5,4.4,0.1,0.02,-0.01
200612,"S&P 500",1416.42,5.24,5.25,-0.01,0,0,2.66,2.55,0.11,0.04,-0.01,4.4,4.5,-0.1,-0.02,-0.01
200701,"S&P 500",1424.16,5.25,5.24,0.01,0,0,2.7,2.66,0.04,0.02,0,4.6,4.4,0.2,0.05,0.02
200702,"S&P 500",1444.79,5.26,5.25,0.01,0,0,2.81,2.7,0.11,0.04,0.03,4.5,4.6,-0.1,-0.02,0
200703,"S&P 500",1406.95,5.26,5.26,0,0,0,2.75,2.81,-0.06,-0.02,0.01,4.4,4.5,-0.1,-0.02,0
200704,"S&P 500",1463.64,5.25,5.26,-0.01,0,0,2.64,2.75,-0.11,-0.04,-0.01,4.5,4.4,0.1,0.02,-0.01
200705,"S&P 500",1511.14,5.25,5.25,0,0,0,2.49,2.64,-0.15,-0.06,-0.04,4.4,4.5,-0.1,-0.02,-0.01
200706,"S&P 500",1514.49,5.25,5.25,0,0,0,2.39,2.49,-0.1,-0.04,-0.05,4.6,4.4,0.2,0.05,0.02
200707,"S&P 500",1520.7,5.26,5.25,0.01,0,0,2.32,2.39,-0.07,-0.03,-0.04,4.7,4.6,0.1,0.02,0.01
200708,"S&P 500",1454.62,5.02,5.26,-0.24,-0.05,-0.01,2.27,2.32,-0.05,-0.02,-0.03,4.6,4.7,-0.1,-0.02,0.02
200709,"S&P 500",1497.12,4.94,5.02,-0.08,-0.02,-0.02,2.36,2.27,0.09,0.04,0,4.7,4.6,0.1,0.02,0.01
200710,"S&P 500",1539.66,4.76,4.94,-0.18,-0.04,-0.03,2.45,2.36,0.09,0.04,0.02,4.7,4.7,0,0,0
200711,"S&P 500",1463.39,4.49,4.76,-0.27,-0.06,-0.04,2.63,2.45,0.18,0.07,0.05,4.7,4.7,0,0,0.01
200712,"S&P 500",1479.22,4.24,4.49,-0.25,-0.06,-0.05,2.6,2.63,-0.03,-0.01,0.03,5,4.7,0.3,0.06,0.02
200801,"S&P 500",1378.76,3.94,4.24,-0.3,-0.07,-0.06,2.54,2.6,-0.06,-0.02,0.01,5,5,0,0,0.02
200802,"S&P 500",1354.87,2.98,3.94,-0.96,-0.24,-0.12,2.42,2.54,-0.12,-0.05,-0.03,4.9,5,-0.1,-0.02,0.01
200803,"S&P 500",1316.94,2.61,2.98,-0.37,-0.12,-0.15,2.48,2.42,0.06,0.02,-0.02,5.1,4.9,0.2,0.04,0.01
200804,"S&P 500",1370.47,2.28,2.61,-0.33,-0.13,-0.16,2.52,2.48,0.04,0.02,0,5,5.1,-0.1,-0.02,0
200805,"S&P 500",1403.22,1.98,2.28,-0.3,-0.13,-0.13,2.57,2.52,0.05,0.02,0.02,5.4,5,0.4,0.08,0.03
200806,"S&P 500",1341.25,2,1.98,0.02,0.01,-0.08,2.62,2.57,0.05,0.02,0.02,5.6,5.4,0.2,0.04,0.03
200807,"S&P 500",1257.33,2.01,2,0.01,0.01,-0.04,2.71,2.62,0.09,0.03,0.02,5.8,5.6,0.2,0.04,0.05
200808,"S&P 500",1281.47,2,2.01,-0.01,0,0,2.66,2.71,-0.05,-0.02,0.01,6.1,5.8,0.3,0.05,0.04
200809,"S&P 500",1217.02,1.81,2,-0.19,-0.1,-0.03,2.59,2.66,-0.07,-0.03,0,6.1,6.1,0,0,0.03
200810,"S&P 500",968.8,0.97,1.81,-0.84,-0.46,-0.19,2.47,2.59,-0.12,-0.05,-0.03,6.5,6.1,0.4,0.07,0.04
200811,"S&P 500",883.04,0.39,0.97,-0.58,-0.6,-0.39,2.4,2.47,-0.07,-0.03,-0.03,6.8,6.5,0.3,0.05,0.04
200812,"S&P 500",877.56,0.16,0.39,-0.23,-0.59,-0.55,2.27,2.4,-0.13,-0.05,-0.04,7.3,6.8,0.5,0.07,0.06
200901,"S&P 500",865.58,0.15,0.16,-0.01,-0.06,-0.42,2.27,2.27,0,0,-0.03,7.8,7.3,0.5,0.07,0.06
200902,"S&P 500",805.23,0.22,0.15,0.07,0.47,-0.06,2.27,2.27,0,0,-0.02,8.3,7.8,0.5,0.06,0.07
200903,"S&P 500",757.13,0.18,0.22,-0.04,-0.18,0.07,2.18,2.27,-0.09,-0.04,-0.01,8.7,8.3,0.4,0.05,0.06
200904,"S&P 500",848.15,0.15,0.18,-0.03,-0.17,0.04,2.12,2.18,-0.06,-0.03,-0.02,9,8.7,0.3,0.03,0.05
200905,"S&P 500",902.41,0.18,0.15,0.03,0.2,-0.05,2.04,2.12,-0.08,-0.04,-0.03,9.4,9,0.4,0.04,0.04
200906,"S&P 500",926.12,0.21,0.18,0.03,0.17,0.07,1.91,2.04,-0.13,-0.06,-0.04,9.5,9.4,0.1,0.01,0.03
200907,"S&P 500",935.82,0.16,0.21,-0.05,-0.24,0.04,1.66,1.91,-0.25,-0.13,-0.08,9.5,9.5,0,0,0.02
200908,"S&P 500",1009.72,0.16,0.16,0,0,-0.02,1.65,1.66,-0.01,-0.01,-0.07,9.6,9.5,0.1,0.01,0.01
200909,"S&P 500",1044.55,0.15,0.16,-0.01,-0.06,-0.1,1.53,1.65,-0.12,-0.07,-0.07,9.8,9.6,0.2,0.02,0.01
200910,"S&P 500",1067.66,0.12,0.15,-0.03,-0.2,-0.09,1.55,1.53,0.02,0.01,-0.02,10,9.8,0.2,0.02,0.02
200911,"S&P 500",1088.07,0.12,0.12,0,0,-0.09,1.43,1.55,-0.12,-0.08,-0.05,9.9,10,-0.1,-0.01,0.01
200912,"S&P 500",1110.38,0.12,0.12,0,0,-0.07,1.39,1.43,-0.04,-0.03,-0.03,9.9,9.9,0,0,0
201001,"S&P 500",1123.58,0.11,0.12,-0.01,-0.08,-0.03,1.23,1.39,-0.16,-0.12,-0.07,9.8,9.9,-0.1,-0.01,-0.01
201002,"S&P 500",1089.16,0.13,0.11,0.02,0.18,0.03,1.11,1.23,-0.12,-0.1,-0.08,9.8,9.8,0,0,0
201003,"S&P 500",1152.05,0.16,0.13,0.03,0.23,0.11,1.03,1.11,-0.08,-0.07,-0.09,9.9,9.8,0.1,0.01,0
201004,"S&P 500",1197.32,0.2,0.16,0.04,0.25,0.22,0.94,1.03,-0.09,-0.09,-0.09,9.9,9.9,0,0,0
201005,"S&P 500",1125.06,0.2,0.2,0,0,0.16,0.88,0.94,-0.06,-0.06,-0.07,9.6,9.9,-0.3,-0.03,-0.01
201006,"S&P 500",1083.36,0.18,0.2,-0.02,-0.1,0.05,0.8,0.88,-0.08,-0.09,-0.08,9.4,9.6,-0.2,-0.02,-0.02
201007,"S&P 500",1079.8,0.18,0.18,0,0,-0.03,0.84,0.8,0.04,0.05,-0.03,9.4,9.4,0,0,-0.02
201008,"S&P 500",1087.28,0.19,0.18,0.01,0.06,-0.01,0.84,0.84,0,0,-0.01,9.5,9.4,0.1,0.01,0
